trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.35558177624485743, 'e': 0.5048858887870696}",25,0,-12.739807611408757,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.3538038673636331, 'e': 0.4998370298991989}",35,17,-35.321892930429414,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
70,False,"{'a': 0.35203484802681495, 'e': 0.49483865960020695}",20,9,15.3348627012499,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.35027467378668087, 'e': 0.4898902730042049}",25,0,-30.65395920468685,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.3485233004177475, 'e': 0.48499137027416284}",30,12,33.700342298873444,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.34678068391565875, 'e': 0.4801414565714212}",30,8,-7.590060892972879,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.34504678049608045, 'e': 0.475340042005707}",25,0,-72.57733890605826,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
75,False,"{'a': 0.34332154659360004, 'e': 0.47058664158564995}",20,9,-67.6696669978573,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
76,False,"{'a': 0.34160493886063203, 'e': 0.4658807751697934}",20,0,-56.36259273067649,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
77,False,"{'a': 0.3398969141663289, 'e': 0.4612219674180955}",25,9,-9.732669754230221,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.33819742959549726, 'e': 0.45660974774391455}",20,5,12.504334424175106,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.33650644244751976, 'e': 0.4520436502664754}",30,8,-14.118238702377218,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.3348239102352822, 'e': 0.44752321376381066}",25,11,15.927062715621553,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.3331497906841058, 'e': 0.44304798162617254}",20,0,5.6023395244243055,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.33148404173068524, 'e': 0.4386175018099108}",25,6,-9.292463730621376,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.3298266215220318, 'e': 0.4342313267918117}",25,0,-17.160779365699526,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
